ID_Transacao,ID_Pedido,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Localidade_Venda,Metodo_Pagamento,Status_Pedido
TRX0000001,PED000001,2024-07-24,CLI00395,Smartphone X200,Eletronicos,2237.52,4,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000002,PED000002,12/07/2024,CLI00577,Tablet 10,Eletronicos,"R$ 1.359,61",1,Rio de Janeiro/RJ/Brasil,Pix,Cancelado
TRX0000003,PED000003,2024-07-20,CLI00262,Cafeteira Eletrica,casa,"R$ 299,52",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000004,PED000003,20/07/2024,,Liquidificador Potente,Casa,"222,79",1,Rio de Janeiro/RJ/Brasil,Pix,Entregue
TRX0000005,PED000004,27/07/2024,CLI00569,Aspirador Robo,Casa,"1.537,24",1,Campinas/SP/Brasil,Cartao de Credito,Entregue
TRX0000006,PED000004,00/00/0000,CLI00569,Headset Gamer,Acessorios,"R$ 275,00",1,Campinas/SP/Brasil,Cartao de Credito,Entregue
TRX0000007,PED000005,30-07-2024,CLI00577,Luminaria de Mesa,Casa,148.19,1,Rio de Janeiro/RJ/Brasil,Pix,Devolvido
TRX0000008,PED000006,15/07/2024,CLI00006,Notebook Gamer,Eletronicos,"R$ 5.029,18",2,Porto Alegre/RS/Brasil,Pix,entregue
TRX0000009,PED000006,2024-07-15,CLI00006,Mochila para Notebook,Acessorios,184.49,1,Porto Alegre/RS/Brasil,Pix,Entregue
TRX0000010,PED000006,15-07-2024,CLI00006,Calca Jeans Reta,Moda,181.62,1,Porto Alegre/RS/Brasil,Pix,Entregue
TRX0000011,PED000007,24/07/2024,CLI00486,Livro Dados em Acao,Livros,"R$ 89,13",2,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000012,PED000007,2024-07-24,CLI00486,Smart TV 50,eletronicos,2580.55,3,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000013,PED000007,2024-07-24,CLI00486,Garrafa Termica,Esporte,"119,88",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000014,PED000007,24-07-2024,CLI00486,Notebook Gamer,Eletronicos,"R$ 5.240,44",1,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Entregue
TRX0000015,PED000008,23/07/2024,CLI00001,Jogo de Panelas,Casa,"417,55",1,Recife/PE/Brasil,Pix,Entregue
TRX0000016,PED000008,2024-07-23,CLI00001,Carregador Turbo,Acessorios,106.08,1,Recife/PE/Brasil,Pix,Entregue
TRX0000017,PED000009,2024-07-09,CLI00527,Mochila para Notebook,Acessórios,"193,01",2,Curitiba/PR/Brasil,Pix,Entregue
TRX0000018,PED000009,2024-07-09,CLI00527,Halteres 10kg,Esporte,182.19,1,Curitiba/PR/Brasil,Pix,Entregue
TRX0000019,PED000009,2024-07-09,CLI00527,Capa para Smartphone,Acessorios,49.13,1,Curitiba/PR/Brasil,Pix,Entregue
TRX0000020,PED000010,22/07/2024,CLI00119,Hub USB-C,Acessorios,125.56,2,Niteroi/RJ/Brasil,Pix,Cancelado
TRX0000021,PED000010,22/07/2024,CLI00119,Capa para Smartphone,Acessorios,52.84,3,Niteroi/RJ/Brasil,Pix,Cancelado
TRX0000022,PED000011,28/07/2024,CLI00443,Luminaria de Mesa,Casa,"R$ 145,60",1,Curitiba/PR/Brasil,Pix,Entregue
TRX0000023,PED000011,2024-07-28,CLI00443,Jaqueta Corta Vento,Moda,"258,89",1,Curitiba/PR/Brasil,Pix,entregue
